"Var1","Freq"
1,2316
2,1344
3,1022
4,785
5,681
6,576
7,460
8,434
9,365
10,349
11,290
12,273
13,251
14,257
15,225
16,216
17,224
18,173
19,131
20,149
21,115
22,118
23,116
24,99
25,110
26,94
27,84
28,70
29,85
30,86
31,69
32,76
33,68
34,72
35,70
36,72
37,55
38,53
39,46
40,48
41,32
42,40
43,56
44,45
45,52
46,38
47,41
48,31
49,41
50,30
51,38
52,35
53,28
54,26
55,38
56,35
57,31
58,31
59,28
60,31
61,27
62,27
63,28
64,25
65,19
66,16
67,20
68,26
69,20
70,26
71,27
72,23
73,22
74,16
75,17
76,16
77,19
78,19
79,19
80,20
81,12
82,20
83,15
84,20
85,13
86,20
87,20
88,15
89,10
90,8
91,9
92,12
93,13
94,7
95,15
96,10
97,13
98,8
99,9
100,20
101,13
102,9
103,14
104,14
105,15
106,10
107,10
108,10
109,3
110,10
111,13
112,8
113,5
114,16
115,17
116,14
117,9
118,10
119,7
120,11
121,13
122,5
123,9
124,5
125,6
126,12
127,10
128,6
129,7
130,7
131,3
132,10
133,6
134,13
135,2
136,5
137,2
138,9
139,13
140,5
141,7
142,7
143,9
144,8
145,11
146,5
147,2
148,7
149,5
150,2
151,6
152,5
153,3
154,11
155,5
156,3
157,2
158,4
159,5
160,6
161,4
162,8
163,5
164,4
165,3
166,9
167,5
168,5
169,8
170,1
171,5
172,6
173,2
174,6
175,6
176,4
177,3
178,1
179,2
180,5
181,4
182,8
183,6
184,1
185,5
186,4
187,5
188,1
189,3
190,1
191,2
192,3
193,4
194,5
195,4
196,2
197,3
198,6
199,3
200,4
201,1
202,1
203,3
204,7
205,5
206,7
207,5
208,2
209,6
210,2
211,5
212,3
213,2
214,1
215,3
216,2
217,3
218,3
219,5
220,2
221,3
222,8
223,4
224,4
225,7
226,4
227,3
228,3
229,5
230,4
231,4
232,3
233,4
234,1
235,2
236,2
237,4
238,3
239,2
240,2
241,2
242,3
243,4
244,2
245,2
246,5
247,3
248,5
249,3
250,3
251,6
252,3
253,2
254,3
255,1
256,2
257,1
258,2
259,1
260,3
261,3
262,1
263,1
264,1
265,2
266,1
267,1
268,4
269,2
270,3
271,1
272,2
273,1
274,2
275,4
276,3
277,2
278,2
279,3
280,1
281,1
282,2
283,2
284,1
285,4
286,1
287,2
288,2
289,2
290,1
291,2
292,2
293,2
294,1
295,1
296,2
297,1
298,3
299,2
300,2
301,5
302,3
303,1
304,2
305,3
306,2
307,3
308,1
309,1
310,1
311,2
312,1
313,3
314,2
315,2
316,1
317,1
318,1
319,1
320,1
321,1
322,1
323,3
324,1
325,1
326,1
327,1
328,1
329,1
330,1
331,1
332,2
333,4
334,1
335,1
336,1
337,3
338,2
339,1
340,1
341,1
342,1
343,1
344,2
345,2
346,3
347,1
348,2
349,1
350,1
351,1
352,1
353,2
354,4
355,1
356,1
357,2
358,1
359,1
360,1
361,1
362,1
363,1
364,1
365,1
366,1
367,1
368,2
369,1
370,2
371,1
372,1
373,2
374,1
375,1
376,1
377,1
378,1
379,1
380,1
381,1
382,1
383,1
384,1
385,1
386,1
387,2
388,1
389,1
390,1
391,1
392,1
393,1
394,1
395,1
396,2
397,1
398,1
399,1
400,1
401,1
402,1
403,1
404,1
405,1
406,2
407,1
408,1
409,1
410,1
411,1
412,2
413,1
414,1
415,1
416,1
417,1
418,1
419,1
420,1
421,1
422,1
423,1
424,1
425,1
426,1
427,1
428,1
429,1
430,2
431,1
432,1
433,2
434,2
435,1
436,1
437,1
438,1
439,1
440,1
441,1
442,1
443,1
444,1
445,1
446,1
447,1
448,1
449,2
450,1
451,2
452,1
453,2
454,1
455,1
456,2
457,1
458,1
459,1
460,1
461,1
462,1
463,1
464,1
465,1
466,1
467,1
468,1
469,1
470,1
471,1
472,1
473,1
474,1
475,1
476,2
477,1
478,1
479,1
480,1
481,1
482,1
483,1
484,1
485,1
486,2
487,1
488,1
489,1
490,1
491,1
492,1
493,1
494,1
495,1
496,1
497,1
498,1
499,1
500,1
501,1
502,1
503,1
504,1
505,1
506,1
507,1
508,1
509,1
510,1
511,1
512,1
513,1
514,1
515,1
516,1
517,1
518,1
519,1
520,1
521,1
522,1
523,1
524,1
525,1
526,1
527,1
528,1
529,1
530,1
531,1
532,1
533,1
534,1
535,1
