"Timestamp","R1","R2","R3","R4","R5","R6","R7","R8","R9","R10","R11","R12","R13","R14","R15","R16","R17","R18","R19","R20","R21","R22","R23","R24","R25","R26","R27","R28","R29","R30","R31","R32","R33","R34","R35","R36","R37","R38","R39","R40","R41","R42","R43","R44","R45","R46","R47","R48","R49","R50","R51","R52","R53","R54","R55","R56","R57","R58","R59","R60","R61","R62","R63","R64","R65","R66","R67","R68","R69","R70","R71","R72","R73","R74","R75","R76","R77","R78","R79","R80","R81","R82","R83","R84","R85","R86","R87","R88","R89","R90","R91","R92","R93","R94","R95","R96","R97","R98","R99","R100"
2015-04-01 00:00:13,6390,6281,6325,6391,6226,6296,6204,4678,5027,4842,5130,4894,6034,4946,4947,6205,6369,5052,6302,6036,6124,4893,6354,3438,5199,5250,4149,6037,4105,6033,4945,6392,5086,4782,4853,6363,4073,6356,6338,4005,3525,6268,6110,5298,4925,6256,3079,5060,3565,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2015-04-01 00:20:14,6325,6391,6415,6416,6226,6204,4678,6337,6296,4842,6369,6301,6124,4947,6354,5052,6302,6037,6033,6205,4893,5205,5199,6125,4164,6036,4105,4747,4945,6034,4894,5086,6363,6268,4853,6227,6110,6113,4073,5298,3667,4925,6040,5250,4906,3525,3079,6355,4246,4446,5038,4896,4907,2140,4782,221,3582,6111,2434,871,6348,2667,2702,699,3565,2100,203,2109,6045,2701,4918,4055,216,206,3279,293,519,258,266,3268,3815,3013,1407,277,487,205,625,211,3483,6047,4581,3209,275,1127,2025,2981,215,261,242,2425
2015-04-01 00:40:14,6325,6391,6415,6416,6226,6204,6419,4678,6337,6296,4842,6369,6301,6124,4947,5052,6302,6037,6033,4893,6205,5205,5199,6125,4164,4105,6303,4747,6036,4945,4894,6034,5086,6363,4853,6268,6227,6110,6113,4073,5298,3667,4925,6040,5250,4906,3525,3079,4246,6355,4446,5038,4896,4907,2140,4782,221,3582,6111,2434,871,6348,2667,2702,699,3565,2100,203,2109,6045,2701,4918,4055,216,206,3279,293,519,258,266,3268,3815,3013,1407,277,487,205,625,211,3483,6047,3209,275,1127,2025,2981,215,261,242,2425
2015-04-01 01:00:14,6325,6391,6416,6422,6226,6204,6423,6419,4678,6337,6296,4842,6369,6301,6124,4947,5052,6302,6037,4893,6205,4893,5199,6125,4747,6303,6036,5085,4164,5205,4945,4894,6034,4105,5086,6363,4853,6268,6227,6110,6113,4073,5298,3667,4925,6256,6040,5250,3525,3079,6424,6355,4446,5038,6392,2140,4782,4907,221,6338,3582,6356,6111,5040,871,5060,2434,6348,6243,2667,699,3565,2100,4936,203,2109,4895,6045,6184,4906,2701,3059,6038,4918,266,216,206,6127,293,258,519,3013,277,487,205,211,6165,625,275,3107
2015-04-01 01:20:13,6325,6391,6416,6422,6226,6204,6419,4678,6337,6296,4842,6369,6301,6124,4947,6429,5052,6302,6037,4893,5199,4747,6430,6125,6205,6036,4164,5085,5205,4945,4894,4105,5086,6034,6363,4853,6227,6110,6033,6113,4073,3667,5298,4925,6040,5250,3525,3079,6424,4446,5038,6392,2140,221,4782,4907,6338,3582,6356,6111,6111,5040,871,5060,2434,6348,6243,2667,699,3565,2100,6218,4936,203,2109,6045,2701,6184,4906,3059,4918,266,216,206,6127,293,6431,258,519,3013,277,487,6044,205,211,6432,625,6165,275,3107
2015-04-01 01:40:14,6325,6391,6416,6422,6226,6204,6419,4678,6337,6296,4842,6369,6301,6124,4947,6442,6429,5052,6302,4893,6443,4893,6430,5199,4747,6205,4164,5205,6036,5085,4105,4945,4894,6034,6363,4853,6227,6110,6033,4073,6113,3667,5298,4925,6040,3525,5250,3079,6424,4446,6355,5038,2140,221,6392,4782,4907,6338,3582,6356,6444,5040,6111,871,5060,2434,6348,2667,699,6243,3565,2100,203,4936,2109,6218,6045,2701,3059,4906,6184,4918,6038,266,216,206,293,6431,258,519,3013,277,487,6044,205,211,6432,625,275,6165
2015-04-01 02:00:14,6325,6190,6391,6447,6226,6204,6419,4678,6337,6296,4842,6369,6124,6442,4947,6205,5052,5130,6302,6037,6429,6443,4893,6430,5199,4747,6227,4164,5205,6036,5085,4105,4945,4894,6363,6034,4853,6110,6033,6113,3667,5298,4925,3525,6040,5250,3079,4446,6424,6355,5038,2140,221,6392,4782,4907,6338,3582,6356,6444,3095,5040,871,6111,5060,2434,2667,699,6348,3565,6243,2100,203,2109,4936,6218,6045,2701,3059,4906,6184,4918,266,6038,216,206,293,258,519,6431,3013,277,487,205,6044,211,625,6432,275,6165
2015-04-01 02:20:14,6325,6190,6391,6447,6226,6204,6419,4678,6337,6296,4842,6369,6452,6442,6124,6205,4947,5052,5130,6302,6429,6037,6443,4893,6430,5199,4747,5222,6227,6363,4164,5205,6036,5085,4105,4945,4894,6034,4853,6110,6033,6113,3667,5298,4925,3525,6040,5250,3079,6424,6355,2140,5038,221,4782,6392,4907,3582,6338,6356,6356,6444,3095,871,5040,5060,2434,6111,2667,699,3565,6348,2100,203,2109,4936,6045,6218,2701,3059,6184,4918,266,6243,6038,216,206,293,258,519,519,6431,3013,277,487,205,211,6453,6044,625
2015-04-01 02:40:16,6325,6190,6391,6447,6226,6204,6419,4678,6337,6296,4842,6369,6036,6442,6124,4947,6205,5052,5130,6302,6429,6037,6443,4893,6430,5199,4747,6227,4164,5205,6363,4105,4945,5085,4894,4853,6034,6110,6033,3667,6113,4925,3525,5298,3079,6040,5250,2140,6424,221,221,6355,5038,4782,6392,4907,3582,4306,6338,6356,871,5060,5040,2434,6111,2667,699,3565,6348,2100,203,2109,6045,4936,2701,6218,3059,4906,4918,266,6184,6243,6038,216,206,293,258,519,6431,3013,277,487,205,211,6044,625,275,6432,261,242
2015-04-01 03:00:13,6325,6190,6391,6447,6226,6204,6419,4678,6337,6296,6430,4842,6369,6036,6429,6442,6124,4947,6205,5052,5130,6302,6037,6443,4893,5199,4747,6227,4164,5205,6363,4105,4945,5085,4894,4853,6034,6110,6033,3667,6113,6040,4925,3525,3079,5298,5250,2140,221,6424,5038,6355,4782,3582,4907,6392,4306,6338,6356,3095,871,5060,2434,5040,2667,6111,699,3565,2100,6348,203,2109,6045,4936,2701,3059,6218,4918,4906,266,6184,6243,216,6038,206,293,258,519,6431,3013,277,487,205,211,625,6044,275,261,242,1127
2015-04-01 03:20:13,6325,6391,6472,6226,6447,6204,6419,4678,6337,6296,6430,4842,6369,6036,6429,6442,6124,4947,6205,5052,5130,6302,6037,6443,5199,4893,4747,6227,4164,6363,4105,5205,4945,4894,4853,6034,6033,6431,6110,3667,6113,4925,6040,3525,4907,3079,5250,2140,221,6176,4782,3582,3094,3095,871,2434,2702,699,2667,3565,6348,2100,203,2109,6045,4918,2701,216,4055,206,293,258,519,266,277,1407,487,205,211,625,6047,3483,275,3209,1127,261,215,3279,2425,1381,283,247,278,3051,530,2668,1046,6339,3472,229
2015-04-01 03:40:14,6325,6391,6416,6226,6447,6204,6419,4678,6337,6296,6430,4842,6369,6036,6429,6442,6124,4947,6205,5052,5130,6302,6037,5199,6443,4893,4747,6227,4164,6363,4105,5205,4945,4894,4853,6034,6033,6431,6110,3667,6113,4925,6040,3525,3079,4907,5250,2140,221,6176,4782,3582,3094,3095,871,6303,2434,2702,699,2667,3565,2100,203,6348,2109,6045,4918,2701,4906,216,4055,206,293,258,519,266,277,1407,487,205,211,625,6047,3483,275,3209,1127,261,215,3279,2425,6432,1381,283,247,278,3051,530,2668,1046
2015-04-01 04:00:14,6325,6391,6416,6226,6447,6204,6419,6430,4678,6337,6296,4842,6369,6036,6442,6429,6124,4947,5052,5130,6302,6037,6205,5199,6443,4893,4747,5222,4164,6227,6363,4105,5205,4945,4894,4853,6033,6431,6110,3667,6113,5155,4925,3525,6040,3079,4907,5250,2140,221,6176,4782,3582,3094,3095,871,2434,6303,2702,699,2667,3565,2100,203,2109,6045,4918,2701,4906,216,4055,206,6348,293,258,519,266,277,1407,487,205,211,625,6047,3483,275,3209,1127,261,215,3279,2425,1381,283,247,278,3051,530,2668,1046
2015-04-01 04:20:14,6325,6391,6416,6484,6226,6204,6419,6430,4678,6337,6485,4842,6369,6036,6442,6429,6124,4947,5052,5130,6302,6037,6205,5199,4893,6443,4747,5222,4164,6227,4105,5205,4945,6363,4894,4853,6033,6431,6110,3667,6113,3525,6040,3079,4907,5298,5250,2140,221,4782,3582,6176,3094,3095,871,6303,2434,2702,699,2667,3565,4999,2100,203,2109,6045,4918,2701,4906,216,4055,206,6348,293,258,519,266,277,1407,487,205,211,625,6047,3483,275,3209,1127,6044,261,215,3279,2425,1381,283,247,278,530,3051,2668
2015-04-01 04:40:14,6325,6391,6416,6226,6447,6204,6419,6430,4678,6337,6485,4842,6369,6036,6442,6429,6124,4947,5052,5130,6302,5199,6037,6205,4893,6443,4747,5222,4164,6227,4105,5205,4945,6363,4894,4853,6033,6431,6110,3667,6113,3525,3079,6040,4907,5298,5250,2140,221,3582,4782,4306,6176,3094,3095,871,6303,2434,2702,699,2667,3565,4999,2100,203,2109,6045,4918,2701,4906,216,4055,206,293,6348,258,519,266,277,1407,487,205,211,625,6047,3483,275,3209,1127,261,6044,215,3279,2425,1381,283,247,278,530,3051
