"Timestamp","R1","R2","R3","R4","R5","R6","R7","R8","R9","R10","R11","R12","R13","R14","R15","R16","R17","R18","R19","R20","R21","R22","R23","R24","R25","R26","R27","R28","R29","R30","R31","R32","R33","R34","R35","R36","R37","R38","R39","R40","R41","R42","R43","R44","R45","R46","R47","R48","R49","R50","R51","R52","R53","R54","R55","R56","R57","R58","R59","R60","R61","R62","R63","R64","R65","R66","R67","R68","R69","R70","R71","R72","R73","R74","R75","R76","R77","R78","R79","R80","R81","R82","R83","R84","R85","R86","R87","R88","R89","R90","R91","R92","R93","R94","R95","R96","R97","R98","R99","R100"
2015-04-01 00:00:02,6237,6235,3960,5994,6146,6101,6236,4302,6290,5997,4403,6250,5023,6359,5983,4653,6305,4638,5068,4236,6372,5238,4468,6377,6197,5165,6120,4047,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2015-04-01 00:20:02,6237,6235,3960,5994,6236,6408,6146,6101,4302,5997,6290,4523,6186,5983,6250,4653,6359,5023,4638,6305,5068,4417,5238,15,6372,4468,6130,4847,5,6377,5998,9,1607,4236,6131,3970,2870,4,5173,5151,4487,6306,4913,5982,695,1482,2885,4722,645,5999,4680,11,5044,6132,6133,5165,6134,17,35,1195,37,6307,18,19,6238,3640,5288,6197,4500,46,13,4152,34,60,58,6120,4047,544,5024,3641,84,28,657,6000,4435,3423,2413,6001,6002,816,4933,4776,4699,12,1308,45,3126,3364,989,2405
2015-04-01 00:40:02,6237,6235,3960,5994,6236,6408,6146,6101,4302,5997,6290,4523,6186,5983,6250,4653,6359,5023,4638,6305,5068,4417,6372,5238,15,4468,4847,5,9,6377,5998,1607,4236,3970,6131,2870,4,5173,6130,5151,4487,6306,4913,5982,695,1482,2885,4722,645,4680,11,5044,5999,6132,6133,5165,6134,17,6238,35,1195,37,6307,18,19,3640,5288,4500,6197,46,13,4152,34,60,58,6417,6120,4047,544,5024,3641,84,28,657,4435,3423,6000,2413,6001,816,6002,4933,4776,4699,12,1308,45,3126,3364,989
2015-04-01 01:00:02,6237,6235,3960,5994,6236,6146,6101,4302,5997,6290,4403,6250,4653,5983,6359,6420,5023,6305,6372,5068,4417,695,8,17,15,5,6377,9,5998,1607,5238,4468,6131,4236,3970,4,6130,6417,12,4487,5982,1482,645,2885,4913,11,4722,5151,5999,6132,6133,5044,6134,6238,33,35,1195,37,6307,18,54,3640,5288,967,6197,46,5165,34,58,6120,84,4047,28,60,6000,2413,49,4435,6001,6002,816,4776,45,4933,399,3126,41,544,32,989,3054,2405,65,550,4002,2064,6158,26,1308,2198
2015-04-01 01:20:02,6237,6235,3960,5994,6236,6146,6101,4302,5997,6290,4403,6250,4653,6359,5983,5023,6305,6372,5068,4417,695,8,17,15,5,9,6377,5998,1607,5238,4468,6131,4236,3970,4,6130,12,6417,5173,4487,5982,1482,645,2885,4913,11,4722,5151,5999,6132,5044,6133,6134,33,35,6238,1195,37,18,6307,54,3640,967,5288,6197,46,5165,34,58,6120,84,4047,28,60,2413,6000,49,4435,6001,816,6002,4776,45,4933,399,3126,41,544,32,989,3054,2405,65,550,4002,2064,6158,26,1308,2198
2015-04-01 01:40:02,6237,6235,3960,5994,6236,6146,6101,4302,5997,6290,4403,6250,4653,6359,5983,5023,6305,6372,5068,4417,695,8,17,15,5,9,6377,1607,6437,5238,4468,4236,3970,6131,4,6130,6417,12,5173,4487,1482,5982,645,2885,11,4722,5151,5999,5044,6132,6132,33,35,6134,1195,37,6238,18,54,6307,6197,6438,3640,967,5288,46,5165,34,58,6120,84,4047,28,60,2413,49,6000,4435,816,6001,6002,4776,45,4933,399,3126,41,544,32,989,3054,2405,65,550,4002,2064,6158,26,1308,2198
2015-04-01 02:00:02,6237,6235,3960,5994,6236,6146,6101,4302,5997,6290,4403,6250,6305,4653,6359,5983,5023,6372,5068,4417,695,8,17,15,5,9,1607,6377,5238,4468,6437,4236,3970,4,6131,6130,6417,12,5173,4487,1482,5982,645,2885,11,4722,5151,5999,5044,6132,33,35,1195,37,6134,6238,18,54,6307,6133,6438,6197,3640,967,5288,46,5165,34,58,6120,84,4047,28,60,2413,49,4435,6000,816,6001,6002,4776,45,4933,399,3126,41,544,32,989,3054,2405,65,550,4002,2064,6158,26,1308,2198
2015-04-01 02:20:02,6237,6235,3960,5994,6236,6146,6101,4302,5997,4403,6290,6250,6305,4653,6359,5983,5023,6372,5068,4417,695,8,17,15,5,9,1607,6377,5238,4468,6437,4236,3970,4,6131,6130,6417,12,5173,4487,1482,645,2885,11,4722,5151,5999,5044,6132,33,35,1195,37,6134,18,6238,54,6307,6133,6438,6197,3640,967,5288,46,5165,34,58,6120,84,4047,28,60,2413,49,4435,6000,816,6001,6002,4776,45,4933,399,3126,41,544,32,989,3054,2405,65,550,4002,2064,6158,26,1308,2198,1097
2015-04-01 02:40:02,6237,6420,3960,5994,6236,6146,6101,4302,5997,4403,6250,6290,6305,4653,6359,5983,5023,6372,5068,4417,695,8,17,15,5,9,1607,6377,5238,4468,4236,3970,6437,4,6131,6417,6130,12,5173,4487,1482,645,2885,11,4722,5151,6306,5044,6132,33,35,1195,37,18,6134,54,6238,6307,6133,6438,3640,6197,967,5288,46,5165,34,58,6120,84,4047,28,60,2413,49,4435,816,6001,6002,4776,45,4933,399,3126,41,544,32,989,3054,2405,65,550,4002,2064,6158,26,1308,2198,1097,3797
2015-04-01 03:00:02,6237,6420,3960,5994,6236,6146,6101,4302,5997,4403,6250,6290,6359,6305,4653,5983,5023,6372,5068,4417,695,6464,8,17,15,5,9,1607,6377,5238,4468,4236,3970,4,6437,6131,6130,6417,12,5173,1482,645,2885,11,4722,5151,6306,5044,5999,6132,33,35,1195,37,18,54,6134,6238,3640,6133,6438,967,6197,5288,46,5165,34,58,84,4047,6120,28,60,2413,49,4435,816,6001,6002,45,4776,4933,399,3126,41,544,32,989,3054,2405,65,550,6307,4002,2064,6158,26,1308,2198,1097
